molecule_name,atom_index,dist_H_0,dist_H_1,dist_H_2,dist_H_3,dist_H_4,dist_C_0,dist_C_1,dist_C_2,dist_C_3,dist_C_4,dist_N_0,dist_N_1,dist_N_2,dist_N_3,dist_N_4,dist_O_0,dist_O_1,dist_O_2,dist_O_3,dist_O_4,dist_F_0,dist_F_1,dist_F_2,dist_F_3,dist_F_4
dsgdb9nsd_040711,9,0.3018163443814204,0.15736457230729847,0.1532869648023222,0.10386671101518853,0.10289867462963026,0.8489025959808869,0.20074233096800295,0.20073937942547462,0.12731153857960598,0.07618888961109306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsgdb9nsd_040711,10,0.3018163443814204,0.16026864101866253,0.1548978760231802,0.10289780765941933,0.07004533393355936,0.8502921587607398,0.19960586184936677,0.1992824313945958,0.08113404748972694,0.05552797740587245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsgdb9nsd_040711,11,0.30181683424929484,0.16027192257716816,0.1548978760231802,0.10289867462963026,0.07004890018632369,0.8502911497045311,0.1996076089621689,0.1992841439337679,0.08113247375090686,0.0555207068344801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsgdb9nsd_040711,12,0.30181683424929484,0.15736457230729847,0.1533020143544291,0.10386724226431866,0.10289780765941933,0.848903049413178,0.20074123026078533,0.20073733020679274,0.12730624248702951,0.0761712998039656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsgdb9nsd_040711,13,0.16027192257716816,0.16026864101866253,0.14523730493634834,0.14521582362541047,0.10582721941818912,0.8441719991422051,0.20958757529753122,0.20485327947130422,0.20485141597641274,0.11810934210449706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsgdb9nsd_040711,14,0.16364405701463963,0.16364275956869082,0.1533020143544291,0.1532869648023222,0.10642920084732661,0.8330023546762582,0.21932944977363367,0.20801478484525057,0.20801390471774117,0.13655071999165422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsgdb9nsd_040711,15,0.31634835321402704,0.16364275956869082,0.1336969632057221,0.08868903333737838,0.0756614868805025,0.8358825771916311,0.1960907157746202,0.19228925283209974,0.11739180741055362,0.10365061944489938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsgdb9nsd_040711,16,0.31634835321402704,0.14521582362541047,0.11248115558662683,0.11062791464296187,0.10642907070923842,0.8323234625039363,0.2065051047849186,0.20380843599348614,0.13297241980714952,0.12953566603710515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsgdb9nsd_040711,17,0.30080187400701136,0.1556723694228974,0.13369717439989792,0.10260002932477226,0.07312043582783537,0.8480887575085923,0.20086225736888738,0.19935088765667006,0.11680480960549683,0.07969818121241376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsgdb9nsd_040711,18,0.30080187400701136,0.15567164108196926,0.1336969632057221,0.10260016113272419,0.0731203099335942,0.8480889534210704,0.2008617699641722,0.19935054533238247,0.11680477937028068,0.0796981010173046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsgdb9nsd_040711,19,0.30109711464935224,0.15567164108196926,0.11062791464296187,0.10260002932477226,0.08868903333737838,0.8481806502716055,0.20175141958092727,0.19930909917735806,0.11204643146336163,0.07746542239261302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsgdb9nsd_040711,20,0.30109711464935224,0.1556723694228974,0.11062723860883075,0.10260016113272419,0.08868859024385241,0.8481807576266772,0.20175091015575972,0.1993094656738677,0.11204575411497592,0.07746530137902918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsgdb9nsd_040711,21,0.31634828006821986,0.14523730493634834,0.11248115558662683,0.11062723860883075,0.10642920084732661,0.8323228667993096,0.20650512371977967,0.20380777111729614,0.13297029399556584,0.12953535046490472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsgdb9nsd_040711,22,0.31634828006821986,0.16364405701463963,0.13369717439989792,0.08868859024385241,0.0756392695303471,0.8358830251696528,0.19609127936898427,0.19228951303295896,0.11739185482944663,0.10365077093166436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
